acc,f1_macro,precision_macro,recall_macro,auc,log_loss,brier,f1_c0,recall_c0,f1_c1,recall_c1,f1_c2,recall_c2,recall_ictal,cm,model,repeat,fold,params,sec,blend_w
0.96,0.9665831244778613,0.9696969696969697,0.9666666666666667,0.998611111111111,0.1174720013159033,0.057072118671860475,0.9523809523809523,1.0,0.9473684210526315,0.9,1.0,1.0,1.0,"[[40, 0, 0], [4, 36, 0], [0, 0, 20]]",attention,0,3,98544,41.09757160002482,
0.95,0.946284861582793,0.9430402930402929,0.9499999999999998,0.9934027777777779,0.2023185038287118,0.07595126901833954,0.95,0.95,0.9620253164556962,0.95,0.926829268292683,0.95,0.95,"[[38, 0, 2], [2, 38, 0], [0, 1, 19]]",early,0,3,97507,33.96395259999554,
0.99,0.991665364379851,0.991869918699187,0.9916666666666667,0.9977777777777778,0.09251305342842331,0.036014143771116135,0.9876543209876543,1.0,0.9873417721518988,0.975,1.0,1.0,1.0,"[[40, 0, 0], [1, 39, 0], [0, 0, 20]]",score,0,3,59302,0.09191000001737848,0.9
0.6,0.6483709273182957,0.6484848484848484,0.65,0.7502777777777778,0.6830680976371509,0.45087024264898995,0.5714285714285714,0.6,0.47368421052631576,0.45,0.9,0.9,0.9,"[[24, 16, 0], [20, 18, 2], [0, 2, 18]]",logvar,0,3,3,0.02574599999934435,
0.93,0.928182928182928,0.9341350920298289,0.9249999999999999,0.9955555555555556,0.14012074159712398,0.0822942947578159,0.9523809523809523,1.0,0.9090909090909091,0.875,0.9230769230769231,0.9,0.9,"[[40, 0, 0], [4, 35, 1], [0, 2, 18]]",shallow,0,3,21,0.03152160000172444,
0.94,0.9375624375624376,0.9445773524720892,0.9333333333333332,0.993263888888889,0.14246545959295348,0.08094722984780478,0.961038961038961,0.925,0.9285714285714286,0.975,0.9230769230769231,0.9,0.9,"[[37, 3, 0], [0, 39, 1], [0, 2, 18]]",raw1d,0,4,27075,22.9587716999813,
0.96,0.966645820304357,0.9674185463659147,0.9666666666666667,0.9977777777777778,0.09597218099519682,0.05628912357228659,0.9487179487179487,0.925,0.9512195121951219,0.975,1.0,1.0,1.0,"[[37, 3, 0], [1, 39, 0], [0, 0, 20]]",spec2d,0,4,32227,11.79873600002611,
0.95,0.9498612842266092,0.9629629629629629,0.9416666666666668,0.9985416666666667,0.13437126574192942,0.07688269346279233,0.961038961038961,0.925,0.9411764705882353,1.0,0.9473684210526315,0.9,0.9,"[[37, 3, 0], [0, 40, 0], [0, 2, 18]]",raw1d_wide,0,4,99795,64.61972600000445,
0.97,0.974996093139553,0.9751928288513655,0.975,0.9980555555555556,0.09022144969055546,0.04987642685422787,0.9620253164556962,0.95,0.9629629629629629,0.975,1.0,1.0,1.0,"[[38, 2, 0], [1, 39, 0], [0, 0, 20]]",spec2d_wide,0,4,97775,13.038112299982458,
0.97,0.9706646823040771,0.9755799755799756,0.9666666666666667,0.9987499999999999,0.0731527222196679,0.03821745776968717,0.9620253164556962,0.95,0.975609756097561,1.0,0.9743589743589743,0.95,0.95,"[[38, 2, 0], [0, 40, 0], [1, 0, 19]]",late,0,4,98571,41.4803856999788,
0.95,0.9581699346405229,0.9629629629629629,0.9583333333333334,1.0,0.15797338286108822,0.084348544655606,0.9333333333333333,0.875,0.9411764705882353,1.0,1.0,1.0,1.0,"[[35, 5, 0], [0, 40, 0], [0, 0, 20]]",gated,0,4,98698,23.867433999985224,
0.94,0.9457316445268252,0.9514483884128927,0.9416666666666668,0.9974999999999999,0.09773863247366946,0.06276557012150077,0.9230769230769231,0.9,0.9397590361445783,0.975,0.9743589743589743,0.95,0.95,"[[36, 4, 0], [1, 39, 0], [1, 0, 19]]",attention,0,4,98544,29.342202600004384,
0.88,0.8478044440104061,0.8574958438660016,0.8416666666666667,0.9727777777777776,0.4047804532435565,0.19853541806197242,0.9024390243902439,0.925,0.9382716049382716,0.95,0.7027027027027027,0.65,0.65,"[[37, 0, 3], [1, 38, 1], [4, 3, 13]]",early,0,4,97507,23.332201499986695,
0.96,0.966645820304357,0.9674185463659147,0.9666666666666667,0.9981944444444445,0.09133382511471215,0.04973336232592893,0.9487179487179487,0.925,0.9512195121951219,0.975,1.0,1.0,1.0,"[[37, 3, 0], [1, 39, 0], [0, 0, 20]]",score,0,4,59302,0.09182900001178496,0.30000000000000004
0.57,0.629255518144407,0.6187850821997163,0.6416666666666667,0.7635416666666667,0.6331248790999726,0.4298381905024111,0.49382716049382713,0.5,0.44155844155844154,0.425,0.9523809523809523,1.0,1.0,"[[20, 20, 0], [21, 17, 2], [0, 0, 20]]",logvar,0,4,3,0.03352830000221729,
0.95,0.9542786530738337,0.9602203182374541,0.9499999999999998,0.9979861111111111,0.1179659515934108,0.06316368443242627,0.9487179487179487,0.925,0.9397590361445783,0.975,0.9743589743589743,0.95,0.95,"[[37, 3, 0], [1, 39, 0], [0, 1, 19]]",shallow,0,4,21,0.03199570000288077,
