acc,f1_macro,precision_macro,recall_macro,auc,f1_c0,recall_c0,f1_c1,recall_c1,f1_c2,recall_c2,recall_ictal,cm,model,repeat,fold,params,sec,blend_w
0.99,0.991665364379851,0.991869918699187,0.9916666666666667,0.995,0.9876543209876543,1.0,0.9873417721518988,0.975,1.0,1.0,1.0,"[[40, 0, 0], [1, 39, 0], [0, 0, 20]]",gated,0,3,98698,50.32023390001268,
0.98,0.9792076838147299,0.9759969028261711,0.9833333333333334,0.9875694444444445,0.9876543209876543,1.0,0.9743589743589743,0.95,0.975609756097561,1.0,1.0,"[[40, 0, 0], [1, 38, 1], [0, 0, 20]]",attention,0,3,98544,43.2814922999969,
0.95,0.9537746806039489,0.9538239538239539,0.9583333333333334,0.9968055555555555,0.9523809523809523,1.0,0.9333333333333333,0.875,0.975609756097561,1.0,1.0,"[[40, 0, 0], [4, 35, 1], [0, 0, 20]]",early,0,3,97507,20.013029399997322,
0.99,0.991665364379851,0.991869918699187,0.9916666666666667,0.9952777777777778,0.9876543209876543,1.0,0.9873417721518988,0.975,1.0,1.0,1.0,"[[40, 0, 0], [1, 39, 0], [0, 0, 20]]",score,0,3,59302,0.0444329000019934,0.0
0.6,0.6483709273182957,0.6484848484848484,0.65,0.7502777777777778,0.5714285714285714,0.6,0.47368421052631576,0.45,0.9,0.9,0.9,"[[24, 16, 0], [20, 18, 2], [0, 2, 18]]",logvar,0,3,3,0.015088100000866689,
0.93,0.928182928182928,0.9341350920298289,0.9249999999999999,0.9955555555555556,0.9523809523809523,1.0,0.9090909090909091,0.875,0.9230769230769231,0.9,0.9,"[[40, 0, 0], [4, 35, 1], [0, 2, 18]]",shallow,0,3,21,0.012053800004650839,
0.97,0.9708577901348986,0.9767441860465116,0.9666666666666667,0.997638888888889,0.9743589743589743,0.95,0.963855421686747,1.0,0.9743589743589743,0.95,0.95,"[[38, 2, 0], [0, 40, 0], [0, 1, 19]]",raw1d,0,4,27075,34.09381219999341,
0.91,0.9150535396285759,0.9200515796260477,0.9249999999999999,0.9970833333333333,0.8732394366197183,0.775,0.9195402298850575,1.0,0.9523809523809523,1.0,1.0,"[[31, 7, 2], [0, 40, 0], [0, 0, 20]]",spec2d,0,4,32227,6.632169300006353,
0.96,0.9625929625929626,0.9696969696969697,0.9583333333333334,0.997013888888889,0.961038961038961,0.925,0.9523809523809523,1.0,0.9743589743589743,0.95,0.95,"[[37, 3, 0], [0, 40, 0], [0, 1, 19]]",raw1d_wide,0,4,99795,74.32256669999333,
0.91,0.9207080892474151,0.9387755102040817,0.9166666666666666,0.9966666666666666,0.8888888888888888,0.8,0.898876404494382,1.0,0.9743589743589743,0.95,0.95,"[[32, 8, 0], [0, 40, 0], [0, 1, 19]]",spec2d_wide,0,4,97775,11.51575170000433,
0.94,0.9459984459984461,0.9531122031122031,0.9416666666666668,0.9959722222222221,0.935064935064935,0.9,0.9285714285714286,0.975,0.9743589743589743,0.95,0.95,"[[36, 4, 0], [1, 39, 0], [0, 1, 19]]",late,0,4,98571,25.80031649999728,
0.94,0.9459984459984461,0.9531122031122031,0.9416666666666668,0.9940277777777778,0.935064935064935,0.9,0.9285714285714286,0.975,0.9743589743589743,0.95,0.95,"[[36, 4, 0], [1, 39, 0], [0, 1, 19]]",gated,0,4,98698,46.62108060000173,
0.94,0.9497171590194847,0.9565217391304347,0.9500000000000001,0.9972222222222222,0.918918918918919,0.85,0.9302325581395349,1.0,1.0,1.0,1.0,"[[34, 6, 0], [0, 40, 0], [0, 0, 20]]",attention,0,4,98544,30.30437840000377,
0.99,0.991665364379851,0.991869918699187,0.9916666666666667,0.9981944444444445,0.9873417721518988,0.975,0.9876543209876543,1.0,1.0,1.0,1.0,"[[39, 1, 0], [0, 40, 0], [0, 0, 20]]",early,0,4,97507,14.799303499996313,
0.97,0.9708577901348986,0.9767441860465116,0.9666666666666667,0.997638888888889,0.9743589743589743,0.95,0.963855421686747,1.0,0.9743589743589743,0.95,0.95,"[[38, 2, 0], [0, 40, 0], [0, 1, 19]]",score,0,4,59302,0.04817780001030769,1.0
0.57,0.629255518144407,0.6187850821997163,0.6416666666666667,0.7635416666666667,0.49382716049382713,0.5,0.44155844155844154,0.425,0.9523809523809523,1.0,1.0,"[[20, 20, 0], [21, 17, 2], [0, 0, 20]]",logvar,0,4,3,0.021278999993228354,
0.95,0.9542786530738337,0.9602203182374541,0.9499999999999998,0.9979861111111111,0.9487179487179487,0.925,0.9397590361445783,0.975,0.9743589743589743,0.95,0.95,"[[37, 3, 0], [1, 39, 0], [0, 1, 19]]",shallow,0,4,21,0.015858800004934892,
0.97,0.9709772311398327,0.9678668215253582,0.975,0.9995833333333333,0.9743589743589743,0.95,0.9629629629629629,0.975,0.975609756097561,1.0,1.0,"[[38, 2, 0], [0, 39, 1], [0, 0, 20]]",raw1d,1,0,27075,34.10702239999955,
0.95,0.9582746570698378,0.9599832390530065,0.9583333333333334,0.99375,0.9397590361445783,0.975,0.935064935064935,0.9,1.0,1.0,1.0,"[[39, 1, 0], [4, 36, 0], [0, 0, 20]]",spec2d,1,0,32227,6.08110179999494,
0.94,0.9499687304565354,0.9507101086048454,0.9500000000000001,0.9954166666666667,0.9230769230769231,0.9,0.926829268292683,0.95,1.0,1.0,1.0,"[[36, 4, 0], [2, 38, 0], [0, 0, 20]]",raw1d_wide,1,0,99795,69.72617120000359,
0.99,0.991665364379851,0.991869918699187,0.9916666666666667,1.0,0.9873417721518988,0.975,0.9876543209876543,1.0,1.0,1.0,1.0,"[[39, 1, 0], [0, 40, 0], [0, 0, 20]]",spec2d_wide,1,0,97775,12.352224899994326,
