model_a,model_b,n,mean_a,mean_b,mean_diff,p_naive_wilcoxon,p_corrected,p_corrected_conservative,p_sign,delta_min_naive,delta_min_corrected,bayes_p_b_better_r01,bayes_p_equiv_r01,bayes_p_a_better_r01,bayes_p_b_better_r02,bayes_p_equiv_r02,bayes_p_a_better_r02,p_naive_wilcoxon_holm,p_corrected_holm,p_corrected_conservative_holm,p_sign_holm,sig_naive,sig_corrected
gated,logvar,15,0.9703213335332959,0.6390627009505595,0.33125863258273625,6.103515625e-05,1.3314631830033385e-09,4.308937592175219e-09,6.103515625e-05,0.35045699835254973,0.3731005007186099,4.503500863864213e-10,5.441148642759686e-10,0.999999999005535,3.0770123398256444e-10,1.1942260513819747e-09,0.9999999984980728,0.00274658203125,5.458999050313688e-08,1.7666644127918398e-07,0.00274658203125,True,True
gated,raw1d,15,0.9703213335332959,0.956320173218552,0.014001160314743744,0.08316092870843561,0.3795504912911004,0.42087916596669506,0.30175781249999994,0.0264708413086754,0.041178199970112704,0.07107071754486177,0.32851427850792136,0.6004150039472169,0.022399598849037666,0.625955651326817,0.35164474982414534,1.0,1.0,1.0,1.0,False,False
gated,raw1d_wide,15,0.9703213335332959,0.9633883336074447,0.00693299992585105,0.24549352944751968,0.6617908750247148,0.6891581993542301,0.1795654296875,0.01947049848690409,0.034257844542059455,0.14674709473891023,0.43018955793925256,0.4230633473218372,0.052249548585021795,0.7408546380125414,0.2068958134024368,1.0,1.0,1.0,1.0,False,False
gated,score,15,0.9703213335332959,0.9643071870885576,0.006014146444738277,0.15781136896845493,0.6490935184986935,0.6773423499542062,0.1795654296875,0.016466792514349356,0.02879516039975443,0.1180143214684995,0.5007388103568602,0.3812468681746403,0.03197904526587289,0.8191047290450593,0.1489162256890678,1.0,1.0,1.0,1.0,False,False
gated,shallow,15,0.9703213335332959,0.9550189828465289,0.015302350686767115,0.01806640625,0.2950299204654877,0.33701404550462033,0.03515625,0.026670066083572343,0.040077712003569785,0.04682104403333838,0.30911020016998914,0.6440687557966724,0.012497172273054946,0.6158236405144936,0.3716791872124515,0.59619140625,1.0,1.0,1.0,False,False
gated,spec2d,15,0.9703213335332959,0.9600509216392045,0.010270411894091391,0.1005251728089838,0.4209793094422736,0.4612182812930026,0.266845703125,0.02028167686863971,0.0320894580546236,0.062025690557086954,0.42942068310676207,0.508553626336151,0.014197383048097005,0.7631504129932165,0.2226522039586865,1.0,1.0,1.0,1.0,False,False
gated,spec2d_wide,15,0.9703213335332959,0.9654523379915658,0.0048689955417298815,0.5097974849608639,0.7521142638264087,0.7727829314704892,0.79052734375,0.017084113916626557,0.03149122883151058,0.17097384690366854,0.45937674535808193,0.3696494077382495,0.061080809118720006,0.7720251460146892,0.16689404486659082,1.0,1.0,1.0,1.0,False,False
late,logvar,15,0.9777823998402557,0.6390627009505595,0.338719698889696,6.103515625e-05,4.623431675889558e-10,1.5143452704211512e-09,6.103515625e-05,0.3568367389263546,0.37820487222763355,1.5716603533755256e-10,1.8637780208052845e-10,0.9999999996564561,1.0790520391344707e-10,4.081894822149934e-10,0.9999999994839053,0.00274658203125,2.0343099373914056e-08,6.663119189853066e-08,0.00274658203125,True,True
late,raw1d,15,0.9777823998402557,0.956320173218552,0.021462226621703488,0.00115966796875,0.08657053388964313,0.11424718473568272,0.00738525390625,0.030872255046770533,0.04197090810205971,0.008594365010608491,0.16222133876459444,0.8291842962247971,0.0015664257286324328,0.44935940638283733,0.5490741678885303,0.041748046875,1.0,1.0,0.25848388671875,True,False
late,raw1d_wide,15,0.9777823998402557,0.9633883336074447,0.014394066232810794,0.009164232664635305,0.1493735169373367,0.184982563652481,0.012939453125,0.022018807161975084,0.03101180382326358,0.01078827886662268,0.31349884235047,0.6757128787829073,0.0013244012149823653,0.7177373223344394,0.28093827645057823,0.3115839105976004,1.0,1.0,0.43994140625,False,False
late,score,15,0.9777823998402557,0.9643071870885576,0.013475212751698022,0.04132685891250041,0.3146387298678371,0.35668600562552527,0.1795654296875,0.02391647979464888,0.0362314266930703,0.045343733661082866,0.3505911478306204,0.6040651185082967,0.01067497014132461,0.6786219617250048,0.31070306813367066,1.0,1.0,1.0,1.0,False,False
late,shallow,15,0.9777823998402557,0.9550189828465289,0.02276341699372686,0.0012250235420688657,0.040776521928786544,0.058547982490025255,0.0018310546875,0.030926433751513497,0.040554299554537356,0.0029435816281005523,0.11056378500548858,0.8864926333664108,0.00041712927946806726,0.3937838344484711,0.6057990362720609,0.0428758239724103,1.0,1.0,0.06591796875,True,False
late,spec2d,15,0.9777823998402557,0.9600509216392045,0.017731478201051136,0.021943664659377984,0.200070161993971,0.23933526430911883,0.057373046875,0.028386977104795926,0.04095459965826713,0.027004321318640584,0.25647387526623033,0.716521803415129,0.006278769721757862,0.56079151775285,0.43292971252539214,0.6802536044407175,1.0,1.0,1.0,False,False
late,spec2d_wide,15,0.9777823998402557,0.9654523379915658,0.012330061848689625,0.06403014843302322,0.3126026176281673,0.3546499582543079,0.266845703125,0.021842380930367937,0.03306168064656431,0.03931728838594437,0.3836449928484299,0.5770377187656257,0.0078735411668873,0.7295266716079893,0.26259978722512334,1.0,1.0,1.0,1.0,False,False
logvar,raw1d,15,0.6390627009505595,0.956320173218552,-0.3172574722679926,6.103515625e-05,4.43173658092299e-10,1.4522041637698321e-09,6.103515625e-05,0.33417239478484073,0.35412269121237344,0.9999999996615746,1.9162469379325527e-10,1.46800705022645e-10,0.9999999994766849,4.249690326641376e-10,9.834602529008354e-11,0.00274658203125,1.9942814614153456e-08,6.534918736964244e-08,0.00274658203125,True,True
logvar,raw1d_wide,15,0.6390627009505595,0.9633883336074447,-0.32432563265688524,6.103515625e-05,4.762373024952182e-10,1.5593659399793677e-09,6.103515625e-05,0.3417116179249246,0.3622175090655205,0.9999999996398037,2.0100411887983778e-10,1.591921983374495e-10,0.9999999994486614,4.437706779966584e-10,1.075679634113362e-10,0.00274658203125,2.0478204007294382e-08,6.70527354191128e-08,0.00274658203125,True,True
logvar,score,15,0.6390627009505595,0.9643071870885576,-0.325244486137998,6.103515625e-05,3.0237825777827994e-09,9.682280919488341e-09,6.103515625e-05,0.3453156954073634,0.3689886725779083,0.9999999977324485,1.2487887941995854e-09,1.0187626857179435e-09,0.9999999965611807,2.745391142913496e-09,6.934281974820865e-10,0.00274658203125,1.1490373795574638e-07,3.6792667494055697e-07,0.00274658203125,True,True
logvar,shallow,15,0.6390627009505595,0.9550189828465289,-0.3159562818959692,6.103515625e-05,1.6316879850579649e-09,5.267240650685752e-09,6.103515625e-05,0.33455412069523505,0.35648933184309906,0.9999999987581019,6.997854792750223e-10,5.42112660605937e-10,0.9999999980866903,1.5491509121699068e-09,3.6415882070060944e-10,0.00274658203125,6.52675194023186e-08,2.1068962602743006e-07,0.00274658203125,True,True
logvar,spec2d,15,0.6390627009505595,0.9600509216392045,-0.3209882206886449,6.103515625e-05,9.575960912844312e-10,3.1112402163035816e-09,6.103515625e-05,0.3391304573451104,0.36052830878631104,0.9999999992744492,4.06014421139966e-10,3.195364204893195e-10,0.9999999988874415,8.970161660864622e-10,2.155423236932958e-10,0.00274658203125,4.021903583394611e-08,1.3067208908475044e-07,0.00274658203125,True,True
