acc,f1_macro,precision_macro,recall_macro,auc,f1_c0,recall_c0,f1_c1,recall_c1,f1_c2,recall_c2,recall_ictal,cm,model,repeat,fold,params,sec,blend_w
0.96,0.9665831244778613,0.9696969696969697,0.9666666666666667,0.9997222222222222,0.9473684210526315,0.9,0.9523809523809523,1.0,1.0,1.0,1.0,"[[36, 4, 0], [0, 40, 0], [0, 0, 20]]",late,1,0,98571,69.86746850000054,
0.96,0.9584530431770482,0.9538239538239538,0.9666666666666667,0.9997222222222222,0.975609756097561,1.0,0.9473684210526315,0.9,0.9523809523809523,1.0,1.0,"[[40, 0, 0], [2, 36, 2], [0, 0, 20]]",gated,1,0,98698,49.30005619999429,
0.97,0.9707739791073124,0.9754065040650407,0.9666666666666667,0.9991666666666666,0.975,0.975,0.9629629629629629,0.975,0.9743589743589743,0.95,0.95,"[[39, 1, 0], [1, 39, 0], [0, 1, 19]]",attention,1,0,98544,87.87227060000441,
0.9,0.9047744890768147,0.8968370544457501,0.9166666666666666,0.9851388888888889,0.875,0.875,0.9090909090909091,0.875,0.9302325581395349,1.0,1.0,"[[35, 2, 3], [5, 35, 0], [0, 0, 20]]",early,1,0,97507,28.88596750000579,
0.96,0.9625346010032642,0.9676434676434676,0.9583333333333334,0.9984722222222221,0.9620253164556962,0.95,0.9512195121951219,0.975,0.9743589743589743,0.95,0.95,"[[38, 2, 0], [1, 39, 0], [0, 1, 19]]",score,1,0,59302,0.07620759999554139,0.0
0.64,0.6885789108011329,0.6792113621381914,0.7000000000000001,0.7752083333333334,0.5679012345679012,0.575,0.5454545454545454,0.525,0.9523809523809523,1.0,1.0,"[[23, 16, 1], [18, 21, 1], [0, 0, 20]]",logvar,1,0,3,0.025938799997675233,
0.95,0.9498906079074855,0.9499791536376901,0.9499999999999998,0.997013888888889,0.9629629629629629,0.975,0.9367088607594937,0.925,0.95,0.95,0.95,"[[39, 1, 0], [2, 37, 1], [0, 1, 19]]",shallow,1,0,21,0.023942400002852082,
0.95,0.9463918825234764,0.9406487232574189,0.9583333333333334,0.9995138888888889,0.975609756097561,1.0,0.9333333333333333,0.875,0.9302325581395349,1.0,1.0,"[[40, 0, 0], [2, 35, 3], [0, 0, 20]]",raw1d,1,1,27075,38.53172150000319,
0.95,0.9502659990611798,0.9523255813953488,0.9499999999999998,0.9950694444444445,0.9397590361445783,0.975,0.961038961038961,0.925,0.95,0.95,0.95,"[[39, 0, 1], [3, 37, 0], [1, 0, 19]]",spec2d,1,1,32227,10.138190999998187,
0.95,0.9407407407407407,0.9333333333333332,0.9583333333333334,0.9993055555555556,1.0,1.0,0.9333333333333333,0.875,0.8888888888888888,1.0,1.0,"[[40, 0, 0], [0, 35, 5], [0, 0, 20]]",raw1d_wide,1,1,99795,108.71026129999518,
0.95,0.9543012886666138,0.9629629629629629,0.9499999999999998,0.9954861111111111,0.9411764705882353,1.0,0.9473684210526315,0.9,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [4, 36, 0], [1, 0, 19]]",spec2d_wide,1,1,97775,19.406839100003708,
0.98,0.97422568767598,0.983739837398374,0.9666666666666667,1.0,0.9876543209876543,1.0,0.9876543209876543,1.0,0.9473684210526315,0.9,0.9,"[[40, 0, 0], [0, 40, 0], [1, 1, 18]]",late,1,1,98571,54.51430840000103,
0.96,0.9521531100478469,0.9444444444444445,0.9666666666666667,0.9990277777777777,1.0,1.0,0.9473684210526315,0.9,0.9090909090909091,1.0,1.0,"[[40, 0, 0], [0, 36, 4], [0, 0, 20]]",gated,1,1,98698,46.36130019999837,
