acc,f1_macro,precision_macro,recall_macro,auc,f1_c0,recall_c0,f1_c1,recall_c1,f1_c2,recall_c2,recall_ictal,cm,model,repeat,fold,axis,variant,params,sec
0.96,0.962622743110548,0.9603174603174603,0.9666666666666667,0.9991666666666666,0.961038961038961,0.925,0.9512195121951219,0.975,0.975609756097561,1.0,1.0,"[[37, 3, 0], [0, 39, 1], [0, 0, 20]]",gated,1,0,budget,small,73673.0,90.58039190000272
0.97,0.9707739791073124,0.9754065040650407,0.9666666666666667,0.9964583333333333,0.9629629629629629,0.975,0.975,0.975,0.9743589743589743,0.95,0.95,"[[39, 1, 0], [1, 39, 0], [1, 0, 19]]",attention,1,0,budget,small,73421.0,104.88848979999602
0.96,0.9625346010032642,0.9676434676434676,0.9583333333333334,0.9984722222222221,0.9620253164556962,0.95,0.9512195121951219,0.975,0.9743589743589743,0.95,0.95,"[[38, 2, 0], [1, 39, 0], [0, 1, 19]]",score,1,0,budget,small,,0.0
0.64,0.6835884572182681,0.6712913868269118,0.7000000000000001,0.7700694444444444,0.5679012345679012,0.575,0.5526315789473685,0.525,0.9302325581395349,1.0,1.0,"[[23, 15, 2], [18, 21, 1], [0, 0, 20]]",logvar,1,0,budget,small,3.0,0.0
0.95,0.9498906079074855,0.9499791536376901,0.9499999999999998,0.9968750000000001,0.9629629629629629,0.975,0.9367088607594937,0.925,0.95,0.95,0.95,"[[39, 1, 0], [2, 37, 1], [0, 1, 19]]",shallow,1,0,budget,small,21.0,0.0
0.95,0.9463918825234764,0.9406487232574189,0.9583333333333334,0.9995138888888889,0.975609756097561,1.0,0.9333333333333333,0.875,0.9302325581395349,1.0,1.0,"[[40, 0, 0], [2, 35, 3], [0, 0, 20]]",raw1d,1,1,budget,small,27075.0,67.83176250000542
0.95,0.9502659990611798,0.9523255813953488,0.9499999999999998,0.9950694444444445,0.9397590361445783,0.975,0.961038961038961,0.925,0.95,0.95,0.95,"[[39, 0, 1], [3, 37, 0], [1, 0, 19]]",spec2d,1,1,budget,small,32227.0,18.64257739999448
0.95,0.9407407407407407,0.9333333333333332,0.9583333333333334,0.9993055555555556,1.0,1.0,0.9333333333333333,0.875,0.8888888888888888,1.0,1.0,"[[40, 0, 0], [0, 35, 5], [0, 0, 20]]",raw1d_wide,1,1,budget,small,99795.0,206.3358983000071
0.95,0.9543012886666138,0.9629629629629629,0.9499999999999998,0.9954861111111111,0.9411764705882353,1.0,0.9473684210526315,0.9,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [4, 36, 0], [1, 0, 19]]",spec2d_wide,1,1,budget,small,97775.0,41.87692110000353
0.99,0.9873377651155429,0.991869918699187,0.9833333333333334,1.0,0.9876543209876543,1.0,1.0,1.0,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [0, 40, 0], [1, 0, 19]]",late,1,1,budget,small,73611.0,90.97972109999682
