acc,f1_macro,precision_macro,recall_macro,auc,f1_c0,recall_c0,f1_c1,recall_c1,f1_c2,recall_c2,recall_ictal,cm,model,repeat,fold,axis,variant,params,sec
0.98,0.9791035008694781,0.9841269841269842,0.975,0.9956944444444443,0.975609756097561,1.0,0.9873417721518988,0.975,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [1, 39, 0], [1, 0, 19]]",raw1d,0,1,stft,coarse,27075.0,70.97192330000689
0.97,0.9708577901348986,0.9767441860465116,0.9666666666666667,0.9961111111111111,0.963855421686747,1.0,0.9743589743589743,0.95,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [2, 38, 0], [1, 0, 19]]",spec2d,0,1,stft,coarse,32227.0,21.92062449999503
0.97,0.9708577901348986,0.9767441860465116,0.9666666666666667,0.9997916666666667,0.963855421686747,1.0,0.9743589743589743,0.95,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [2, 38, 0], [1, 0, 19]]",raw1d_wide,0,1,stft,coarse,99795.0,167.00187749999168
0.97,0.9708577901348986,0.9767441860465116,0.9666666666666667,0.9989583333333334,0.963855421686747,1.0,0.9743589743589743,0.95,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [2, 38, 0], [1, 0, 19]]",spec2d_wide,0,1,stft,coarse,97775.0,39.822271199998795
0.98,0.9793171760831533,0.9757936507936508,0.9833333333333334,0.9998611111111111,0.9873417721518988,0.975,0.975,0.975,0.975609756097561,1.0,1.0,"[[39, 1, 0], [0, 39, 1], [0, 0, 20]]",late,0,1,stft,coarse,98571.0,108.19624360000307
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0, 0], [0, 40, 0], [0, 0, 20]]",gated,0,1,stft,coarse,98698.0,70.9874121999892
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0, 0], [0, 40, 0], [0, 0, 20]]",attention,0,1,stft,coarse,98544.0,139.90668379999988
0.98,0.9791035008694781,0.9841269841269842,0.975,0.9956944444444443,0.975609756097561,1.0,0.9873417721518988,0.975,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [1, 39, 0], [1, 0, 19]]",score,0,1,stft,coarse,,0.0
0.55,0.607348474545537,0.5936039432858097,0.625,0.7811111111111111,0.4473684210526316,0.425,0.4444444444444444,0.45,0.9302325581395349,1.0,1.0,"[[17, 23, 0], [19, 18, 3], [0, 0, 20]]",logvar,0,1,stft,coarse,3.0,0.0
0.98,0.9792076838147299,0.9759969028261711,0.9833333333333334,1.0,0.9876543209876543,1.0,0.9743589743589743,0.95,0.975609756097561,1.0,1.0,"[[40, 0, 0], [1, 38, 1], [0, 0, 20]]",shallow,0,1,stft,coarse,21.0,0.0
