metric,model_a,model_b,n,mean_a,mean_b,mean_diff,p_naive_wilcoxon,p_corrected,p_corrected_conservative,p_sign,delta_min_naive,delta_min_corrected,bayes_p_b_better_r01,bayes_p_equiv_r01,bayes_p_a_better_r01,bayes_p_b_better_r02,bayes_p_equiv_r02,bayes_p_a_better_r02,p_naive_wilcoxon_holm,p_corrected_holm,p_corrected_conservative_holm,p_sign_holm,sig_naive,sig_corrected
brier,early,gated,24,0.33564391875922706,0.2596410569749974,0.07600286178422963,0.029131293296813965,0.21374194194339644,0.24362111169994666,0.30745625495910645,0.14726216198319425,0.17786823108580577,0.08069670017033033,0.058434960855551,0.8608683389741186,0.05994791063951139,0.11798304441478635,0.8220690449457022,1.0,1.0,1.0,1.0,False,False
brier,early,late,24,0.33564391875922706,0.31369584174614196,0.02194807701308507,0.4223414659500122,0.7607146675232601,0.7756165446878017,0.5412561893463135,0.10733215085448126,0.1440048498138548,0.3289583957707798,0.10515693432745588,0.5658846699017643,0.28079525451139603,0.20841137836962464,0.5107933671189793,1.0,1.0,1.0,1.0,False,False
brier,early,logvar,24,0.33564391875922706,0.4113818177744211,-0.07573789901519411,0.05264079570770264,0.21292832772117026,0.24278002853878214,0.006610751152038574,0.14661830312612267,0.17706163529726338,0.8611747724617991,0.05857878722173593,0.080246440316465,0.8222080405343618,0.11829400167497447,0.05949795779066371,1.0,1.0,1.0,0.3371483087539673,False,False
brier,early,raw1d,24,0.33564391875922706,0.312188538931558,0.023455379827669046,0.5456695556640625,0.5590374746100774,0.5843552326520418,0.15158963203430176,0.07088600737805108,0.09125759481062476,0.20322485889623165,0.16520210478252284,0.6315730363212455,0.14168844337186334,0.32388882812532716,0.5344227285028095,1.0,1.0,1.0,1.0,False,False
brier,early,raw1d_wide,24,0.33564391875922706,0.3353539170675483,0.00029000169167871237,0.9888126850128174,0.9940045597347007,0.99438928459897,0.8388197422027588,0.04606088553965888,0.06571960840148179,0.39495971676967156,0.20429564312711868,0.40074464010320976,0.3000914757951005,0.3946170561028288,0.30529146810207064,1.0,1.0,1.0,1.0,False,False
brier,early,score,24,0.33564391875922706,0.2596915840924127,0.07595233466681432,0.0009626150131225586,0.0339663946925879,0.0459307933732187,0.022655844688415527,0.11633718297575787,0.13368258848199902,0.008915313782668311,0.022321248036184294,0.9687634381811474,0.004546415799178281,0.05058761307123105,0.9448659711295907,0.05005598068237305,1.0,1.0,1.0,False,False
brier,early,shallow,24,0.33564391875922706,0.3654413566570806,-0.029797437897853538,0.5838061571121216,0.7044839647301939,0.7225848454559938,0.8388197422027588,0.12282412410711752,0.16277934649293968,0.5995623001382759,0.09398474133985912,0.30645295852186494,0.5496920054288283,0.18663053875790714,0.2636774558132645,1.0,1.0,1.0,1.0,False,False
brier,early,spec2d,24,0.33564391875922706,0.28293753869453814,0.05270638006468887,0.1779801845550537,0.34518868373811357,0.3764486127660871,0.30745625495910645,0.11827344434814549,0.14643468217551336,0.13166406462647726,0.08974599273511863,0.7785899426384041,0.09836409172202122,0.17945998025284404,0.7221759280251348,1.0,1.0,1.0,1.0,False,False
brier,early,spec2d_wide,24,0.33564391875922706,0.2906713590892777,0.04497255966994939,0.5645889043807983,0.4332472518290643,0.4629642929095516,0.30745625495910645,0.1125719865166169,0.14160612975952375,0.16985664928787636,0.10073364716010502,0.7294097035520186,0.1305094202686709,0.20047567025539115,0.6690149094759379,1.0,1.0,1.0,1.0,False,False
brier,gated,late,24,0.2596410569749974,0.31369584174614196,-0.05405478477114456,0.19737839698791504,0.2571123228314668,0.2880696330698627,0.5412561893463135,0.10982263290254679,0.13377507993539656,0.8232870616148265,0.08584194599086278,0.09087099239431076,0.7642574527378245,0.1732322508809997,0.06251029638117579,1.0,1.0,1.0,1.0,False,False
