metric,model_a,model_b,n,mean_a,mean_b,mean_diff,p_naive_wilcoxon,p_corrected,p_corrected_conservative,p_sign,delta_min_naive,delta_min_corrected,bayes_p_b_better_r01,bayes_p_equiv_r01,bayes_p_a_better_r01,bayes_p_b_better_r02,bayes_p_equiv_r02,bayes_p_a_better_r02,p_naive_wilcoxon_holm,p_corrected_holm,p_corrected_conservative_holm,p_sign_holm,sig_naive,sig_corrected,bayes_p_b_better_r05,bayes_p_equiv_r05,bayes_p_a_better_r05
f1_macro,raw1d,spec2d,24,0.6514447346702764,0.6949851476554101,-0.043540412985133614,0.2522493600845337,0.39396234952360853,0.4245564848043225,0.5412561893463135,0.10362926997243208,0.12943760241627106,0.7449906176629277,0.10676774010790224,0.14824164222917002,0.6785012373352014,0.21272091200401272,0.10877785066078587,1.0,1.0,1.0,1.0,False,False,,,
f1_macro,raw1d,spec2d_wide,24,0.6514447346702764,0.6752531053750657,-0.023808370704789167,0.6230943202972412,0.6435704501027301,0.6649079501088205,0.8388197422027588,0.0846866967940825,0.11083410842930516,0.6059527919605101,0.13797162970145976,0.25607557833803013,0.529568960096191,0.27184143668775407,0.1985896032160549,1.0,1.0,1.0,1.0,False,False,,,
f1_macro,raw1d_wide,score,24,0.6297450892781732,0.6765703309414995,-0.046825241663326356,0.12084019184112549,0.22971297343767758,0.26007467068376183,0.15158963203430176,0.09232459248156033,0.11186669114627705,0.8290195398839504,0.0970325945552568,0.07394786556079282,0.7566222375408393,0.19760202916675065,0.04577573329241,1.0,1.0,1.0,1.0,False,False,,,
f1_macro,raw1d_wide,shallow,24,0.6297450892781732,0.6766459023995033,-0.0469008131213301,0.35962629318237305,0.41770698104703563,0.4478041513034632,0.8388197422027588,0.11503855873735581,0.1443039114000606,0.7387099589039496,0.09771783648525537,0.163572204610795,0.6797829262895085,0.19463266839394708,0.12558440531654438,1.0,1.0,1.0,1.0,False,False,,,
f1_macro,raw1d_wide,spec2d,24,0.6297450892781732,0.6949851476554101,-0.06524005837723688,0.12086271883780898,0.22047623601732447,0.25057183421444384,0.4048728942871094,0.1273418462432585,0.1540147381397018,0.8513577930101983,0.06871754981098478,0.0799246571788169,0.8042629945761935,0.13901792182836092,0.05671908359544553,1.0,1.0,1.0,1.0,False,False,,,
f1_macro,raw1d_wide,spec2d_wide,24,0.6297450892781732,0.6752531053750657,-0.045508016096892444,0.3305051326751709,0.423800681866893,0.45375378370898994,0.30745625495910645,0.11250792225867298,0.14128456968757572,0.7342796463901813,0.1002674516238295,0.16545290198598922,0.6738271245731453,0.1996211769920274,0.1265516984348273,1.0,1.0,1.0,1.0,False,False,,,
f1_macro,score,shallow,24,0.6765703309414995,0.6766459023995033,-7.557145800374254e-05,0.899570107460022,0.9988433872579987,0.9989176079072569,0.8388197422027588,0.061903382750245345,0.08845860094057312,0.42453995856987575,0.1520542435896669,0.4234057978404574,0.35138960004329234,0.2982903906454366,0.35032000931127105,1.0,1.0,1.0,1.0,False,False,,,
f1_macro,score,spec2d,24,0.6765703309414995,0.6949851476554101,-0.018414816713910532,0.9664472341537476,0.637474992000319,0.6591210069151491,0.5412561893463135,0.06464637044530946,0.08450295231284868,0.5854097985680646,0.18026867793461526,0.2343215234973201,0.48378198924080434,0.3514623526873587,0.16475565807183687,1.0,1.0,1.0,1.0,False,False,,,
f1_macro,score,spec2d_wide,24,0.6765703309414995,0.6752531053750657,0.0013172255664339095,0.5270590782165527,0.9755246221247691,0.9770947493646926,0.30745625495910645,0.05223533858216181,0.07410481079396716,0.3961228973970662,0.1839755863550449,0.4199015162478889,0.31024060751976157,0.357704636285248,0.3320547561949904,1.0,1.0,1.0,1.0,False,False,,,
f1_macro,shallow,spec2d,24,0.6766459023995033,0.6949851476554101,-0.018339245255906786,0.6431422233581543,0.7430431150035445,0.7589692921246647,1.0,0.0846059324421198,0.11306766026655114,0.5593061278408356,0.134178083391649,0.30651578876751545,0.4881443255012472,0.26443216704970707,0.2474235074490457,1.0,1.0,1.0,1.0,False,False,,,
