acc,f1_macro,precision_macro,recall_macro,auc,f1_c0,recall_c0,f1_c1,recall_c1,f1_c2,recall_c2,recall_ictal,cm,model,repeat,fold,axis,variant,params,sec
0.96,0.9625346010032642,0.9676434676434676,0.9583333333333334,0.9977777777777778,0.9620253164556962,0.95,0.9512195121951219,0.975,0.9743589743589743,0.95,0.95,"[[38, 2, 0], [1, 39, 0], [0, 1, 19]]",shallow,0,4,stft,fine,21.0,0.0
0.96,0.9583294264728863,0.9585261621846989,0.9583333333333334,0.9979166666666668,0.9620253164556962,0.95,0.9629629629629629,0.975,0.95,0.95,0.95,"[[38, 2, 0], [0, 39, 1], [1, 0, 19]]",raw1d,1,0,stft,fine,27075.0,90.68160210001224
0.98,0.9833229101521784,0.9841269841269842,0.9833333333333334,0.9998611111111111,0.975609756097561,1.0,0.9743589743589743,0.95,1.0,1.0,1.0,"[[40, 0, 0], [2, 38, 0], [0, 0, 20]]",spec2d,1,0,stft,fine,32227.0,47.736835499992594
0.96,0.96231078158789,0.9679722562219503,0.9583333333333334,0.9983333333333334,0.9487179487179487,0.925,0.963855421686747,1.0,0.9743589743589743,0.95,0.95,"[[37, 3, 0], [0, 40, 0], [1, 0, 19]]",raw1d_wide,1,0,stft,fine,99795.0,199.95895250000467
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0, 0], [0, 40, 0], [0, 0, 20]]",spec2d_wide,1,0,stft,fine,97775.0,117.43125209999562
0.97,0.9707739791073124,0.9754065040650407,0.9666666666666667,0.9993055555555556,0.975,0.975,0.9629629629629629,0.975,0.9743589743589743,0.95,0.95,"[[39, 1, 0], [1, 39, 0], [0, 1, 19]]",late,1,0,stft,fine,98571.0,119.26872730000468
0.98,0.9833229101521784,0.9841269841269842,0.9833333333333334,1.0,0.975609756097561,1.0,0.9743589743589743,0.95,1.0,1.0,1.0,"[[40, 0, 0], [2, 38, 0], [0, 0, 20]]",gated,1,0,stft,fine,98698.0,150.08776199999556
0.98,0.9791035008694781,0.9841269841269842,0.975,0.9997222222222222,0.9873417721518988,0.975,0.975609756097561,1.0,0.9743589743589743,0.95,0.95,"[[39, 1, 0], [0, 40, 0], [0, 1, 19]]",attention,1,0,stft,fine,98544.0,142.0035949000012
0.98,0.9833229101521784,0.9841269841269842,0.9833333333333334,0.9998611111111111,0.975609756097561,1.0,0.9743589743589743,0.95,1.0,1.0,1.0,"[[40, 0, 0], [2, 38, 0], [0, 0, 20]]",score,1,0,stft,fine,,0.0
0.64,0.6835884572182681,0.6712913868269118,0.7000000000000001,0.7700694444444444,0.5679012345679012,0.575,0.5526315789473685,0.525,0.9302325581395349,1.0,1.0,"[[23, 15, 2], [18, 21, 1], [0, 0, 20]]",logvar,1,0,stft,fine,3.0,0.0
