acc,f1_macro,precision_macro,recall_macro,auc,f1_c0,recall_c0,f1_c1,recall_c1,f1_c2,recall_c2,recall_ictal,cm,model,repeat,fold,params,sec,blend_w
0.95,0.9539647344525393,0.9513084513084514,0.9583333333333334,0.9965972222222222,0.9512195121951219,0.975,0.935064935064935,0.9,0.975609756097561,1.0,1.0,"[[39, 1, 0], [3, 36, 1], [0, 0, 20]]",spec2d,1,3,32227,10.151930100000754,
0.95,0.9495293110825845,0.9595238095238096,0.9416666666666665,0.9981249999999999,0.9512195121951219,0.975,0.95,0.95,0.9473684210526315,0.9,0.9,"[[39, 1, 0], [2, 38, 0], [1, 1, 18]]",raw1d_wide,1,3,99795,105.36330149999412,
0.95,0.9503717098653807,0.9440559440559441,0.9583333333333334,0.9963888888888889,0.9620253164556962,0.95,0.9367088607594937,0.925,0.9523809523809523,1.0,1.0,"[[38, 2, 0], [1, 37, 2], [0, 0, 20]]",spec2d_wide,1,3,97775,34.88253429999895,
0.98,0.9755799755799757,0.9696969696969697,0.9833333333333334,0.998888888888889,1.0,1.0,0.9743589743589743,0.95,0.9523809523809523,1.0,1.0,"[[40, 0, 0], [0, 38, 2], [0, 0, 20]]",late,1,3,98571,60.16837880000094,
0.99,0.9876505094164866,0.9841269841269842,0.9916666666666667,0.9995138888888889,1.0,1.0,0.9873417721518988,0.975,0.975609756097561,1.0,1.0,"[[40, 0, 0], [0, 39, 1], [0, 0, 20]]",gated,1,3,98698,49.088784899999155,
0.99,0.9873377651155429,0.991869918699187,0.9833333333333334,0.9996527777777778,1.0,1.0,0.9876543209876543,1.0,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [0, 40, 0], [0, 1, 19]]",attention,1,3,98544,91.7801055999953,
0.97,0.9672493469961824,0.9611499611499612,0.975,0.9977777777777778,0.9873417721518988,0.975,0.9620253164556962,0.95,0.9523809523809523,1.0,1.0,"[[39, 1, 0], [0, 38, 2], [0, 0, 20]]",early,1,3,97507,31.070513500002562,
0.95,0.9539647344525393,0.9513084513084514,0.9583333333333334,0.9965972222222222,0.9512195121951219,0.975,0.935064935064935,0.9,0.975609756097561,1.0,1.0,"[[39, 1, 0], [3, 36, 1], [0, 0, 20]]",score,1,3,59302,0.09606599999824539,0.0
0.55,0.6069389912413169,0.5923325499412456,0.625,0.7396527777777777,0.475,0.475,0.4155844155844156,0.4,0.9302325581395349,1.0,1.0,"[[19, 21, 0], [21, 16, 3], [0, 0, 20]]",logvar,1,3,3,0.02540939999744296,
0.96,0.9547236801481939,0.9515873015873016,0.9583333333333334,0.9979166666666667,0.9873417721518988,0.975,0.95,0.95,0.926829268292683,0.95,0.95,"[[39, 1, 0], [0, 38, 2], [0, 1, 19]]",shallow,1,3,21,0.026346200000261888,
0.96,0.9580361159308527,0.9696969696969697,0.9500000000000001,0.993125,0.9743589743589743,0.95,0.9523809523809523,1.0,0.9473684210526315,0.9,0.9,"[[38, 2, 0], [0, 40, 0], [0, 2, 18]]",raw1d,1,4,27075,38.914610599997104,
0.97,0.9706646823040771,0.9755799755799756,0.9666666666666667,0.9958333333333332,0.975609756097561,1.0,0.9620253164556962,0.95,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [2, 38, 0], [0, 1, 19]]",spec2d,1,4,32227,10.076786600002379,
