acc,f1_macro,precision_macro,recall_macro,auc,log_loss,brier,f1_c0,recall_c0,f1_c1,recall_c1,recall_ictal,cm,sensitivity,specificity,false_alarms,fa_per_hour_subsampled,model,fold,test_subjects,n_test,n_test_ictal,params,sec,best_epoch,epochs_run,val_f1,blend_w
0.8419354838709677,0.7628748497478887,0.7535329845450718,0.7741935483870968,0.8534729448491154,0.5520252123459704,0.2379102246475421,0.8997955010224948,0.8870967741935484,0.6259541984732825,0.6612903225806451,0.6612903225806451,"[[220, 28], [21, 41]]",0.6612903225806451,0.8870967741935484,28,0.7178975856420482,gated,4,chb05,310,62,102921,337.3,25,38,0.7870149749454866,
0.6806451612903226,0.6459840121811953,0.673018451414053,0.7701612903225806,0.8988683662851197,0.9716719014771618,0.5054237369237425,0.7567567567567568,0.6209677419354839,0.5352112676056338,0.9193548387096774,0.9193548387096774,"[[154, 94], [5, 57]]",0.9193548387096774,0.6209677419354839,94,2.410084751798305,attention,4,chb05,310,62,102767,265.7,16,29,0.8242258907514819,
0.3548387096774194,0.354408763380399,0.5874565972222222,0.5786290322580645,0.8164672216441208,2.641596408699628,1.1187005614957275,0.3377483443708609,0.2056451612903226,0.3710691823899371,0.9516129032258064,0.9516129032258064,"[[51, 197], [3, 59]]",0.9516129032258064,0.2056451612903226,197,5.050922298981554,early,4,chb05,310,62,102547,144.5,9,22,0.7657219332626684,
0.7833333333333333,0.4743935309973046,0.5258620689655172,0.5052083333333334,0.6427951388888888,1.3954084474209183,0.4031317628866422,0.8773584905660378,0.96875,0.0714285714285714,0.0416666666666666,0.0416666666666666,"[[93, 3], [23, 1]]",0.0416666666666666,0.96875,3,0.0449569162885568,raw1d,5,chb06,120,24,28850,284.4,30,43,0.7512189753015146,
0.875,0.7793847285206521,0.8289548829240434,0.75,0.9036458333333334,0.3717635748469719,0.1961628976195451,0.9246231155778896,0.9583333333333334,0.6341463414634146,0.5416666666666666,0.5416666666666666,"[[92, 4], [11, 13]]",0.5416666666666666,0.9583333333333334,4,0.059942555051409,spec2d,5,chb06,120,24,34546,76.8,16,29,0.6869549892495859,
0.8,0.4444444444444444,0.4,0.5,0.8220486111111112,0.6763591840710864,0.3388843826430869,0.8888888888888888,1.0,0.0,0.0,0.0,"[[96, 0], [24, 0]]",0.0,1.0,0,0.0,raw1d_wide,5,chb06,120,24,103712,392.1,3,20,0.7457559498267625,
0.8083333333333333,0.5200834637454356,0.7393162393162394,0.5364583333333334,0.8107638888888888,0.8532689540232181,0.3209831054152203,0.892018779342723,0.9895833333333334,0.1481481481481481,0.0833333333333333,0.0833333333333333,"[[95, 1], [22, 2]]",0.0833333333333333,0.9895833333333334,1,0.0149856387628522,spec2d_wide,5,chb06,120,24,102236,215.9,27,40,0.728075127564868,
0.8,0.4444444444444444,0.4,0.5,0.8463541666666666,0.9554982651479376,0.3794634422390708,0.8888888888888888,1.0,0.0,0.0,0.0,"[[96, 0], [24, 0]]",0.0,1.0,0,0.0,late,5,chb06,120,24,102768,213.9,7,20,0.7586708493613337,
0.8,0.4444444444444444,0.4,0.5,0.8797743055555556,1.6346016819167668,0.399194056975185,0.8888888888888888,1.0,0.0,0.0,0.0,"[[96, 0], [24, 0]]",0.0,1.0,0,0.0,gated,5,chb06,120,24,102921,522.4,13,26,0.7292018581081081,
0.8,0.4444444444444444,0.4,0.5,0.8459201388888888,1.967689098844062,0.3987890828325592,0.8888888888888888,1.0,0.0,0.0,0.0,"[[96, 0], [24, 0]]",0.0,1.0,0,0.0,attention,5,chb06,120,24,102767,773.5,15,28,0.7659872783204441,
0.8083333333333333,0.5200834637454356,0.7393162393162394,0.5364583333333334,0.7842881944444444,2.634553220338016,0.3733033649959566,0.892018779342723,0.9895833333333334,0.1481481481481481,0.0833333333333333,0.0833333333333333,"[[95, 1], [22, 2]]",0.0833333333333333,0.9895833333333334,1,0.0149856387628522,early,5,chb06,120,24,102547,371.0,39,52,0.7164943085859694,
0.8111111111111111,0.6687594717471315,0.6978021978021978,0.6527777777777778,0.7534722222222222,0.6785364926863453,0.320448171602127,0.8859060402684564,0.9166666666666666,0.4516129032258064,0.3888888888888889,0.3888888888888889,"[[132, 12], [22, 14]]",0.3888888888888889,0.9166666666666666,12,0.1789709172259508,raw1d,6,chb07,180,36,28850,173.5,11,24,0.6919017983699505,
0.8611111111111112,0.7806910668161217,0.783743842364532,0.7777777777777777,0.8811728395061729,0.3993468624926153,0.2278814830123401,0.9134948096885812,0.9166666666666666,0.647887323943662,0.6388888888888888,0.6388888888888888,"[[132, 12], [13, 23]]",0.6388888888888888,0.9166666666666666,12,0.1789709172259508,spec2d,6,chb07,180,36,34546,60.1,4,20,0.693429766469153,
0.8166666666666667,0.7041685342895563,0.7115027829313543,0.6979166666666667,0.7438271604938272,0.8816994811556258,0.330773080432967,0.8865979381443299,0.8958333333333334,0.5217391304347826,0.5,0.5,"[[129, 15], [18, 18]]",0.5,0.8958333333333334,15,0.2237136465324385,raw1d_wide,6,chb07,180,36,103712,563.1,15,28,0.7046007628373823,
0.8666666666666667,0.7719594594594594,0.8045112781954887,0.75,0.9178240740740742,0.4414610978770817,0.223882943955882,0.918918918918919,0.9444444444444444,0.625,0.5555555555555556,0.5555555555555556,"[[136, 8], [16, 20]]",0.5555555555555556,0.9444444444444444,8,0.1193139448173005,spec2d_wide,6,chb07,180,36,102236,109.8,8,21,0.6859767424851898,
0.8388888888888889,0.7835731166300427,0.7593968206804338,0.8368055555555556,0.9367283950617284,0.4340833053234813,0.2410367466350323,0.8929889298892989,0.8402777777777778,0.6741573033707865,0.8333333333333334,0.8333333333333334,"[[121, 23], [6, 30]]",0.8333333333333334,0.8402777777777778,23,0.343027591349739,late,6,chb07,180,36,102768,254.3,12,25,0.754251160140669,
