acc,f1_macro,precision_macro,recall_macro,auc,f1_c0,recall_c0,f1_c1,recall_c1,recall_ictal,cm,model,repeat,fold,params,sec,blend_w
0.9666666666666667,0.9633699633699633,0.9545454545454546,0.975,1.0,0.9743589743589743,0.95,0.9523809523809523,1.0,1.0,"[[38, 2], [0, 20]]",late,0,4,98416,36.61113080000359,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0], [0, 20]]",gated,0,4,98569,40.781093699995836,
0.9833333333333333,0.9814757641247298,0.9761904761904762,0.9875,1.0,0.9873417721518988,0.975,0.975609756097561,1.0,1.0,"[[39, 1], [0, 20]]",attention,0,4,98415,37.88307740000164,
0.8666666666666667,0.8358413132694937,0.8881987577639752,0.8125,0.9575,0.9069767441860465,0.975,0.7647058823529411,0.65,0.65,"[[39, 1], [7, 13]]",early,0,4,97617,17.23052650000318,
0.9833333333333333,0.9814757641247298,0.9761904761904762,0.9875,1.0,0.9873417721518988,0.975,0.975609756097561,1.0,1.0,"[[39, 1], [0, 20]]",score,0,4,59044,0.08744650000153342,0.42500000000000004
0.9666666666666667,0.9633699633699633,0.9545454545454546,0.975,0.97125,0.9743589743589743,0.95,0.9523809523809523,1.0,1.0,"[[38, 2], [0, 20]]",logvar,0,4,2,0.020184000000881497,
0.9666666666666667,0.9633699633699633,0.9545454545454546,0.975,0.99375,0.9743589743589743,0.95,0.9523809523809523,1.0,1.0,"[[38, 2], [0, 20]]",shallow,0,4,14,0.02148009999655187,
0.9666666666666667,0.9633699633699633,0.9545454545454546,0.975,1.0,0.9743589743589743,0.95,0.9523809523809523,1.0,1.0,"[[38, 2], [0, 20]]",raw1d,1,0,26946,28.307466800004477,
0.9666666666666667,0.9614890885750962,0.9761904761904762,0.95,0.9974999999999999,0.975609756097561,1.0,0.9473684210526315,0.9,0.9,"[[40, 0], [2, 18]]",spec2d,1,0,32098,8.210096200004045,
0.9666666666666667,0.9633699633699633,0.9545454545454546,0.975,0.99875,0.9743589743589743,0.95,0.9523809523809523,1.0,1.0,"[[38, 2], [0, 20]]",raw1d_wide,1,0,99666,91.8611932000058,
0.9666666666666667,0.9633699633699633,0.9545454545454546,0.975,1.0,0.9743589743589743,0.95,0.9523809523809523,1.0,1.0,"[[38, 2], [0, 20]]",spec2d_wide,1,0,97646,17.43165880000015,
0.9833333333333333,0.9810066476733144,0.9878048780487805,0.975,1.0,0.9876543209876543,1.0,0.9743589743589743,0.95,0.95,"[[40, 0], [1, 19]]",late,1,0,98416,44.482974500002456,
0.9833333333333333,0.9814757641247298,0.9761904761904762,0.9875,1.0,0.9873417721518988,0.975,0.975609756097561,1.0,1.0,"[[39, 1], [0, 20]]",gated,1,0,98569,42.19080120000581,
0.9833333333333333,0.9810066476733144,0.9878048780487805,0.975,1.0,0.9876543209876543,1.0,0.9743589743589743,0.95,0.95,"[[40, 0], [1, 19]]",attention,1,0,98415,40.970169899999746,
0.8666666666666667,0.8500000000000001,0.8500000000000001,0.8500000000000001,0.965,0.9,0.9,0.8,0.8,0.8,"[[36, 4], [4, 16]]",early,1,0,97617,14.895880399999442,
0.9666666666666667,0.9614890885750962,0.9761904761904762,0.95,0.9974999999999999,0.975609756097561,1.0,0.9473684210526315,0.9,0.9,"[[40, 0], [2, 18]]",score,1,0,59044,0.09602840000297874,0.0
0.9166666666666666,0.9050332383665717,0.9107830551989731,0.8999999999999999,0.99,0.9382716049382716,0.95,0.8717948717948718,0.85,0.85,"[[38, 2], [3, 17]]",logvar,1,0,2,0.02233890000206884,
0.9833333333333333,0.9814757641247298,0.9761904761904762,0.9875,0.99875,0.9873417721518988,0.975,0.975609756097561,1.0,1.0,"[[39, 1], [0, 20]]",shallow,1,0,14,0.02298249999876134,
0.9666666666666667,0.9633699633699633,0.9545454545454546,0.975,1.0,0.9743589743589743,0.95,0.9523809523809523,1.0,1.0,"[[38, 2], [0, 20]]",raw1d,1,1,26946,28.02832770000532,
0.9833333333333333,0.9814757641247298,0.9761904761904762,0.9875,1.0,0.9873417721518988,0.975,0.975609756097561,1.0,1.0,"[[39, 1], [0, 20]]",spec2d,1,1,32098,8.284730999999738,
0.9666666666666667,0.9633699633699633,0.9545454545454546,0.975,1.0,0.9743589743589743,0.95,0.9523809523809523,1.0,1.0,"[[38, 2], [0, 20]]",raw1d_wide,1,1,99666,70.63502299999527,
0.9833333333333333,0.9814757641247298,0.9761904761904762,0.9875,1.0,0.9873417721518988,0.975,0.975609756097561,1.0,1.0,"[[39, 1], [0, 20]]",spec2d_wide,1,1,97646,18.061678500002017,
0.9833333333333333,0.9814757641247298,0.9761904761904762,0.9875,1.0,0.9873417721518988,0.975,0.975609756097561,1.0,1.0,"[[39, 1], [0, 20]]",late,1,1,98416,44.045573800001875,
